nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268322008001,Minuman Teh Rasa Jambu Klutuk,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310039243,Minuman Teh Rasa Stroberi,OT,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306003016,Minuman Teh Rasa Blackcurrant (Fruit Tea Blackcurrant),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311013021,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168310022015,Minuman Teh Rasa Blackcurrant (Fruit Tea Blackcurrant),SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311002050,Minuman Teh,Fanning Cangkir,Gelas Plastik, (200ml),Fa. PERUSAHAAN TEH CANGKIR, Kota Pekalongan, Jawa Tengah
MD 268311001050,Minuman Teh,Cangkir,Gelas Plastik, (200ml),Fa. PERUSAHAAN TEH CANGKIR, Kota Pekalongan, Jawa Tengah
MD 268313014034,Minuman Teh Rasa Apel - Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310043014,Minuman Teh Rasa Jambu Klutuk,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310045014,Minuman Teh Rasa Lemon (Fruit Tea Lemon),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268302019013,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311004021,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268302044021,Minuman Teh Rasa Sirsak,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302047021,Minuman Teh Rasa Markisa,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302029021,Minuman Teh Hijau (Green Tea Drink),Olaga ,Botol Plastik, 350ml,PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302028021,Minuman Teh Aroma Melati (Jasmine Tea Drink),Olaga ,Botol Plastik, (350ml) ,PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302043021,Minuman Teh Rasa Leci,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302045021,Minuman Teh Rasa Jambu,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302038021,Minuman Teh Rasa Apel,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302040021,Minuman Teh Rasa Persik,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302041021,Minuman Teh Rasa Madu Lemon,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302042021,Minuman Teh Rasa Stroberi,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302046021,Minuman Teh Rasa Mangga,OLAGA,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268320001129,Minuman Teh Beraroma Melati,Tehicha,Gelas Plastik, (170ml; 180ml; 200ml),PT MEKAR MANDIRI MAKMUR, Kota Makassar, Sulawesi Selatan
MD 268313027034,Minuman Teh Rasa Jambu Klutuk,SOSRO,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310154047,Minuman Teh Hijau,XIAN LU - Khusus Ekspor,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313042006,Minuman Teh Hitam Earl Grey,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
ML 268302043644,Minuman Teh Hijau dengan Beras Merah Panggang (Brown Rice Green Tea Drink),SANGARIA,Botol Plastik, (500ml),PT MAHKOTA LIMA MAS, Kota Medan, Sumatera Utara
MD 468328009095,Minuman Teh Melati,AJE AZLI,Karton Laminat, (100ml; 110ml; 300ml; 330ml; 300ml; 1000ml,PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268311003021,Minuman Teh Rasa Apel,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311007021,Minuman Teh Rasa Stroberi Anggur (Fruit Tea Freeze),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311001021,Minuman Teh Rasa Apel-Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168306005016,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310022072,Minuman Teh Aroma Melati,Labatu,Gelas Plastik, (165ml; 185ml; 220ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 268310025072,Minuman Teh Aroma Melati,LABATU,Gelas Plastik, (165ml; 185ml; 220ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 268328021110,Minuman Teh Hijau Dengan Susu (Allure Green Tea Latte),Esprecielo,Botol Plastik, (330ml),CV ESPRECIELO INTERNATIONAL, Kota Bandung, Jawa Barat
MD 268302022013,Minuman Teh Rasa Markisa,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313017401,Minuman Teh Hijau Rasa Mangga,Ichitan,Botol Plastik, (420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313009045,Minuman Teh Hijau Melati,Teh Gelas,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310029015,Minuman Teh Hijau Rasa Jeruk Yuzu,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311016071,Minuman Teh Aroma Melati,Indoteh,Gelas Plastik, (180ml; 200ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
MD 268328102054,Minuman Teh Rasa Vanila Pandan (Soothe Me Vanilla Pandan),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 168302023013,Minuman Teh Rasa Markisa,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313094025,Minuman Teh,Anda,Gelas Plastik, (115ml; 230ml),PT SARIGUNA PRIMATIRTA Tbk., Kab. Sidoarjo, Jawa Timur
MD 268310003364,Minuman Teh Beraroma Melati,Unitea,Botol Plastik, (350ml),PT Gunawan Indo Sejahtera, Kota Jakarta Barat, DKI Jakarta
MD 268313016401,Minuman Teh Hijau Rasa Jambu,Ichitan ,Botol Plastik, (420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268328101054,Minuman Teh Melati (Revive Me Jasmine),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 168310021015,Minuman Teh Rasa Apel (Fruit Tea Apel),SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168306006016,Minuman Teh Rasa Apel,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168302017013,Minuman Teh Rasa Apel,SOSRO - Fruit tea,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313040006,Minuman Teh Hitam Rasa English Breakfast,Fiesta Premium,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310007208,Minuman Teh Putih Rasa Melati,Fiesta,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268331048072,MINUMAN TEH MELATI,EMBROSE TIPTOP ,Botol Plastik PET, (330ml; 350ml; 500ml; 1000ml),PT INDOSARI SARANA PANGAN ABADI, Kab. Tangerang, Banten
MD 168311011021,Minuman Teh Rasa Apel,SOSRO - Fruit Tea,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168311012021,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311028052,Minuman Teh Madu,TEKITA EMAS,Gelas Plastik, (300ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
ML 268309708008,Minuman Teh (Kaisi Oolong Tea), ,Botol Plastik, (1500ml),PT MASUYA GRAHA TRIKENCANA, Kota Jakarta Utara, DKI Jakarta
ML 268309709008,Minuman Teh (Kaisi Oolong tea), ,Botol Plastik, (575ml),PT MASUYA GRAHA TRIKENCANA, Kota Jakarta Utara, DKI Jakarta
ML 268313012559,Minuman Teh Hijau,KUKURIN,Botol Plastik, (500ml),PT VERSA FOOD AND BEVERAGES INTERNATIONAL, Kota Surabaya, Jawa Timur
ML 268313013559,Minuman Teh Hijau,KUKURIN,Botol Plastik, (500ml),PT VERSA FOOD AND BEVERAGES INTERNATIONAL, Kota Surabaya, Jawa Timur
MD 268328001220,Minuman Teh,Bintang Sobo,Gelas Plastik, (190ml),PT BEVERA MAKMUR CEMERLANG, Kota Jakarta Selatan, DKI Jakarta
MD 268311027052,Minuman Teh Rasa Lemon,TEKITA,Gelas Plastik, (175ml; 180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268311020052,Minuman Teh Rasa Leci,TEKITA,Gelas Plastik, (175ml; 180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268311019052,Minuman Teh Rasa Stroberi,TEKITA,Gelas Plastik, (175ml; 180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268311026052,Minuman Teh Rasa Persik,TEKITA,Gelas Plastik, (175ml; 180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268311025052,Minuman Teh Rasa Markisa,TEKITA,Gelas Plastik, (175ml; 180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
ML 268309001484,Minuman Teh Hijau Rasa Kisimis (HUTGAESU - Oriental Raisin Water),CJ Cheiljedang,Botol Plastik, (340ml; 500ml; 1500ml; 2000ml),PT YSJ INTERNATIONAL, Kota Jakarta Selatan, DKI Jakarta
MD 268328001179,Minuman Teh Dalam Kemasan,Pucuk Wangi ,Gelas Plastik, (185ml; 220ml; 295ml),PT CIBENING NUSA RAYA, Kab. Bekasi, Jawa Barat
ML 268109002191,Minuman Teh Hijau Bubuk (Green Tea Powder),NOKCHAWON,Plastik, (50 g),PT GRACIA INDO UTAMA, Kota Jakarta Barat, DKI Jakarta
MD 268311021052,Minuman Teh Hijau,TEKITA EMAS,Gelas Plastik, (300ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268331042023,Minuman Teh Rasa Madu,DOLPHIN,Plastik, (240ml; 200ml; 175ml),PT DOLPHIN FOOD & BEVERAGES INDUSTRY, Kab. Tangerang, Banten
MD 268311022052,Minuman Teh Aroma Melati,TEKITA EMAS,Gelas Plastik, (300ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268311023052,Minuman Teh,TEKITA EMAS,Gelas Plastik, (300ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268311001249,Minuman Teh Hijau Dalam Kemasan (Jasmine Tea),Q-Tea,Botol Plastik,(500ml),PT GOPEK CIPTA UTAMA, Kab. Tegal, Jawa Tengah
MD 268311002249,Minuman Teh Hijau Dalam Kemasan (Green Tea),Q-Tea,Botol Plastik, (500ml),PT GOPEK CIPTA UTAMA, Kab. Tegal, Jawa Tengah
MD 268313015401,Minuman Teh Susu Ala Thailand,Ichitan ,Botol Plastik, (250ml; 310ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268320080006,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
ML 268309075055,Minuman Teh Oolong,POKKA,Botol Plastik, (500ml; 1500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268313006261,Minuman Teh Rasa Melati,CAKRA,Botol Plastik, (260ml; 325ml; 350ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268328096054,Minuman Teh Melati Rasa Toasted Rice (Power Me Toasted Rice) ,Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268320079006,Minuman Teh Rasa Leci,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268310024328,Minuman Teh  Dalam Kemasan ,ISMU ,Gelas Plastik, (180ml; 190ml),PT MITRA ALAM BANDUNG, Kota Bandung, Jawa Barat
MD 268310133047,Minuman Teh Hijau,XIAN LU - Khusus Ekspor,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268328022110,Minuman Teh Hijau Dengan Susu Berperisa Vanila (Allure Vanilla Green Tea Latte),Esprecielo,Botol Plastik, (330ml),CV ESPRECIELO INTERNATIONAL, Kota Bandung, Jawa Barat
ML 269009126055,Minuman Teh Krisantemum,POKKA,Botol Plastik, (500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268311017062,Minuman Teh Hijau Berperisa Apel,Eksotea,Gelas Plastik, (180ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 468310083014,Minuman Teh Rasa Stroberi (Strawberry Flavoured Tea Drink),SOSRO - Khusus Ekspor,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320076006,Minuman Teh Rasa Leci ,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320077006,Minuman Teh Rasa Leci,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320078006,Minuman Teh Rasa Leci,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268310004250,Minuman Teh Beraroma Melati,Teheco,Gelas Plastik, (280ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310010013,Minuman Teh Rasa Jambu,SANFRUIT,Botol Plastik, (350ml; 500ml),PT KENCANA ABADI JAYA, Kab. Bogor, Jawa Barat
MD 268310011013,Minuman Teh Rasa Melati,SANFRUIT ,Botol Plastik, (350ml; 500ml),PT KENCANA ABADI JAYA, Kab. Bogor, Jawa Barat
MD 268310023208,Minuman Teh Putih Dengan Madu,Fiesta,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268310128047,Minuman Teh Hijau Aroma Melati,S-tee,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310082014,Minuman Teh Rasa Lemon,SOSRO,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313009238,Minuman Teh Aroma Melati,MYTEA,Botol Plastik, (350ml;  450ml),PT SUNTORY GARUDA BEVERAGE, Kota Jakarta Selatan, DKI Jakarta
MD 268310014072,Minuman Teh Hijau Aroma Melati,ZESTEA,Botol Plastik, (350ml; 500ml),PT TANG MAS , Kota Depok, Jawa Barat
ML 168309203090,Minuman Teh Hijau (Green Tea),JOE,Botol Kaca, (591ml),CV LIBRA FOOD SERVICE, Kota Jakarta Barat, DKI Jakarta
MD 468310024129,Minuman Teh Rasa Apel,TEH KOTAK,Karton Laminat, (200ml; 300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 468310025129,Minuman Teh Rasa Blackcurrant,TEH KOTAK,Karton Laminat, (200ml; 300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 268328001186,Minuman Teh Melati (Jasmine Tea),Mary ,Gelas Plastik, (195ml; 200ml),CV FRESHBREW MELS BEVERAGES, Kab. Bogor, Jawa Barat
MD 268311019062,Minuman Teh Hijau Rasa Original,Seduh Segar,Gelas Plastik, (180ml; 200ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
ML 568309078055,Minuman Teh Oolong,POKKA,Kaleng, (300ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
ML 268309003642,Minuman Teh Hijau Rasa Melati ,ITO EN ,Botol Plastik, (500ml),PT ITO EN Ultrajaya Wholesale, Kota Jakarta Selatan, DKI Jakarta
MD 268320075006,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320074006,Minuman Teh Rasa Leci ,MOUNTEA ,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320072006,Minuman Teh Rasa Leci,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320073006,Minuman Teh Rasa Leci,MOUNTEA,Gelas Plastik, (180ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268311024052,Minuman Teh Rasa Cincau,TEKITA,Gelas Plastik, (180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 468310077014,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin,SOSRO - Khusus Ekspor,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310024243,Minuman Teh Rasa Apel,Teh Gelas,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310021243,Minuman Teh Rasa Lemon,Teh Gelas,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310023243,Minuman Teh Rasa Markisa,Teh Gelas,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310009013,Minuman Teh Rasa Lemon,SANFRUIT,Botol Plastik, (350ml; 500ml),PT KENCANA ABADI JAYA, Kab. Bogor, Jawa Barat
MD 268331147020,Minuman Teh Melati dengan Gula Batu,SISRI,Botol Plastik, (350ml; 360ml; 365ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 268331270020,Minuman Teh Hijau Rasa Madu,SISRI,Botol Plastik, (350ml; 500ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
ML 568302003644,Minuman Teh Susu (Red Tea Princess Mild Milk Tea),SANGARIA,Kaleng, (185ml),PT MAHKOTA LIMA MAS, Kota Medan, Sumatera Utara
ML 568302004644,Minuman Teh Rasa Lemon (Tea Princess Lemon Tea Drink) ,Sangaria,Kaleng, (190ml),PT MAHKOTA LIMA MAS, Kota Medan, Sumatera Utara
MD 268311018184,Minuman Teh Hijau,Larisst ,Gelas Plastik, (180ml),PT SARI MELATI SEJAHTERA, Kota Pekalongan, Jawa Tengah
ML 268309001642,Minuman Teh Hijau,ITO EN,Botol Plastik, (500ml),PT ITO EN Ultrajaya Wholesale, Kota Jakarta Selatan, DKI Jakarta
MD 268320070006,Minuman Teh,MOUNTEA HOME,Gelas Plastik, (290ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 268320071006,Minuman Teh,MOUNTEA HOME,Gelas Plastik, (290ml; 300ml),PT DHARANA INTI BOGA, Kota Jakarta Selatan, DKI Jakarta
MD 468310075014,Minuman Teh Rasa Apel (Apple Tea Drink),SOSRO - Khusus Ekspor,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 668313008034,Minuman Teh Melati,SOSRO,Pouch Aluminium Foil, (150ml; 200ml; 230ml; 250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310021208,Minuman Teh Hijau Rasa Melati,Fiesta,Botol Plastik, 450ml,PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268310005250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml; 200ml; 280ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 568310004211, Minuman Teh Oolong,Adem Sari Ching Ku ,Kaleng, (320ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 268310015040,Minuman Teh Aroma Melati,TEKITA,Gelas Plastik, (180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268310013040,Minuman Teh Hijau,TEKITA,Gelas Plastik, (180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
ML 568302179235,Minuman Teh Susu ,Sangaria,Kaleng, (280ml),CV Sun Fortuna, Kota Medan, Sumatera Utara
MD 268313009115,Minuman Teh Beraroma Melati,teheco,Gelas Plastik, (180ml),PT BROMO TIRTA LESTARI, Kab. Probolinggo, Jawa Timur
ML 168309392660,Minuman Teh Tarik,NARAYA,Botol Kaca, (250ml),PT INTERFOOD SUKSES JASINDO, Kota Jakarta Pusat, DKI Jakarta
MD 268313002401,Minuman Teh Hijau Rasa Leci,ICHITAN,Botol Plastik, (420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313001401,Minuman Teh Hijau Rasa Madu Lemon,ICHITAN,Botol Plastik, (420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313009401,Minuman Teh (Liang Teh),Ichitan Yen Yen ,Botol Plastik, (400ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268313010401,Minuman Teh Manis,ICHITAN,Botol Plastik, (310ml; 420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
ML 268309023270,Minuman Teh Rasa Lemon,Yeo's,Botol Plastik, (350ml),PT YHS INDONESIA, Kota Jakarta Pusat, DKI Jakarta
MD 268310074014,Minuman Teh Rasa Blackcurrant,SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310071014,Minuman Teh Melati (Jasmine tea drink),SOSRO - Khusus Ekspor,Karton Laminat, (250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313013401,Minuman Teh Tawar,ICHITAN,Botol Plastik, (310ml; 420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 268310069014,Minuman Teh Rasa Jambu,SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310070014,Minuman Teh Rasa Apel,SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310065014,Minuman Teh Rasa Stroberi (Strawberry Tea Drink),SOSRO - Khusus Ekspor,Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310067014,Minuman Teh Rasa Apel Blackcurrant (Apple & Blackcurrant Tea Drink),SOSRO - Khusus Ekspor,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310068014,Minuman Teh Rasa Jambu Klutuk (Guava Tea Drink),SOSRO - Khusus Ekspor,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310066014,Minuman Teh Rasa Blackcurrant (Blackcurrant Tea Drink),SOSRO - Khusus Ekspor,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 568309115055,Minuman teh hijau jepang (Japanese Green Tea),POKKA,Kaleng, (300ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310006208,Minuman Teh Putih Rasa Peach,Fiesta,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268310007439,Minuman Teh Hijau Rasa Madu,POKKA,Botol Plastik, (250ml; 350ml; 450ml) ,PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 566510063014,Minuman Teh Berkarbonasi Rasa Mix Fruit (Carbonated Tea Drink Mix Fruit Flavoured),TEBS - Khusus Ekspor,Kaleng, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310014040,Minuman Teh,Tekita,Gelas Plastik, (180ml),PT PRIMA CAHAYA INDOBEVERAGE, Kota Jakarta Pusat, DKI Jakarta
MD 268313012401,Minuman Teh Hijau Rasa Melati,ICHITAN,Botol Plastik, (310ml; 420ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 200928058007,Minuman Teh Hijau Mengandung Susu (Green Tea Latte),BROOKFARM,Botol Plastik,(200ml; 350ml; 500ml; 1000ml),PT DIAMOND COLD STORAGE, Kota Jakarta Utara, DKI Jakarta
MD 268313011401,Minuman Teh (Liang Teh),Ichitan Yen Yen,Plastik, (400ml),PT HON CHUAN INDONESIA, Kab. Bekasi, Jawa Barat
MD 568310062014,Minuman Teh Rasa Apel,SOSRO - Khusus Ekspor,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168311001250,Minuman Teh,Yazz,Botol Kaca, (220ml),CV JEPARAZ TIRTA MULIA, Kab. Jepara, Jawa Tengah
MD 268310025250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310026250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310027250,Minuman Teh Rasa Madu,Teheco,Gelas Plastik, (180ml),PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268310012072,Minuman Teh Hijau ,ZESTEA ,Botol Plastik, (350ml; 500ml),PT TANG MAS , Kota Depok, Jawa Barat
